iter	RMSE
0	0.2044285286
1	0.2024721717
2	0.200699489
3	0.1990085243
4	0.1974133368
5	0.1959953002
6	0.1945371921
7	0.1933195158
8	0.1915197674
9	0.1898449348
10	0.1882250579
11	0.1867406727
12	0.185287936
13	0.1840999806
14	0.18299819
15	0.1819541753
16	0.1808797019
17	0.1798735423
18	0.1789727617
19	0.1781854723
20	0.1773372402
21	0.1765486237
22	0.1758610906
23	0.1751652041
24	0.1745428703
25	0.1739912761
26	0.1733659267
27	0.1727990101
28	0.1723148474
29	0.1718920774
30	0.1714458266
31	0.1710912988
32	0.1707025635
33	0.170303623
34	0.1699616564
35	0.1695794487
36	0.1692736333
37	0.1689634741
38	0.1686765724
39	0.1683580126
40	0.1680862529
41	0.1678425683
42	0.1675956521
43	0.1673653261
44	0.1671529907
45	0.1669065842
46	0.1666327626
47	0.1663832668
48	0.166188973
49	0.1659400885
50	0.1656865107
51	0.1654869248
52	0.1652328055
53	0.1650231879
54	0.1648940228
55	0.1647314406
56	0.1644388963
57	0.1642948457
58	0.1641672137
59	0.1640551267
60	0.1639100703
61	0.1637955735
62	0.1635764694
63	0.1633351465
64	0.1632145778
65	0.1631274215
66	0.1630083132
67	0.1629102876
68	0.1627626846
69	0.1626747287
70	0.1625992125
71	0.1624578526
72	0.1622438651
73	0.1620796272
74	0.1619504084
75	0.1618936025
76	0.161757439
77	0.1617167262
78	0.1616406379
79	0.1616056044
80	0.1614722606
81	0.1613251141
82	0.1612855054
83	0.1612424085
84	0.161081828
85	0.1608790198
86	0.1607561586
87	0.1607266896
88	0.1605744572
89	0.1605186609
90	0.1603928804
91	0.1603624972
92	0.1602157484
93	0.1600638044
94	0.1599846155
95	0.1599011535
96	0.159769883
97	0.1596927851
98	0.1596258787
99	0.1595390962
100	0.1594282352
101	0.1593608777
102	0.1592839747
103	0.159221422
104	0.1589142546
105	0.1588387583
106	0.1587493221
107	0.1586180173
108	0.1585551352
109	0.1585002542
110	0.1584874275
111	0.158437241
112	0.1583598227
113	0.1582689743
114	0.158208086
115	0.1581594067
116	0.1580827714
117	0.1580141332
118	0.1579520884
119	0.1579280695
120	0.1578495004
121	0.1577819803
122	0.1577140593
123	0.1576630418
124	0.1576055052
125	0.1575698021
126	0.1575067178
127	0.1574487374
128	0.1573918838
129	0.1573628602
130	0.1573050369
131	0.1572922564
132	0.1572413603
133	0.1571243566
134	0.1570700017
135	0.1569755208
136	0.1569179311
137	0.1569099406
138	0.1568469753
139	0.1567982167
140	0.1566662286
141	0.1566162582
142	0.1565841975
143	0.156479519
144	0.1563930132
145	0.1563714684
146	0.1563335705
147	0.156326567
148	0.1562995784
149	0.1561852572
150	0.156098066
151	0.1560279235
152	0.1559541336
153	0.155889692
154	0.1558156624
155	0.1557533367
156	0.155669525
157	0.155531727
158	0.1554979312
159	0.1554499478
160	0.1553702967
161	0.1553513149
162	0.1553268453
163	0.1553002314
164	0.1552644126
165	0.1551913142
166	0.1551114758
167	0.1550487988
168	0.1549978679
169	0.154981368
170	0.1548929716
171	0.1548505659
172	0.1548167384
173	0.1547696767
174	0.1547261845
175	0.1545952297
176	0.1545757091
177	0.1544946924
178	0.1543164711
179	0.1542552985
180	0.1542354511
181	0.1542053432
182	0.154085304
183	0.154027915
184	0.1539539275
185	0.1538668848
186	0.153864514
187	0.1538323805
188	0.1537629308
189	0.1537574496
190	0.1537056246
191	0.1536360428
192	0.1535882037
193	0.1535360665
194	0.1534179613
195	0.153394698
196	0.1533673037
197	0.153333556
198	0.1533202145
199	0.1532290408
200	0.1531537845
201	0.1530926884
202	0.1529455238
203	0.1529266713
204	0.1528655319
205	0.1527007308
206	0.1525937274
207	0.1525313376
208	0.1525111434
209	0.1524820659
210	0.1524688731
211	0.1523374081
212	0.1523326978
213	0.1522469393
214	0.1521901373
215	0.1521373114
216	0.152131371
217	0.152118904
218	0.152106735
219	0.1520994574
220	0.1519345996
221	0.1518466444
222	0.1518325131
223	0.1518106929
224	0.1517978432
225	0.1517628876
226	0.1517195708
227	0.1517036743
228	0.1516567853
229	0.1516204408
230	0.1515903422
231	0.1515522647
232	0.1514948844
233	0.151472485
234	0.1514399334
235	0.151412724
236	0.151391369
237	0.1513713311
238	0.1512676348
239	0.1512517957
240	0.1511958133
241	0.1511606645
