iter	Passed	Remaining
0	730	306145
1	1102	230512
2	1499	208462
3	1831	190505
4	2131	176882
5	2357	162661
6	2745	161973
7	3113	160337
8	3396	155100
9	3672	150591
10	3947	146773
11	4232	143900
12	4506	141075
13	4731	137207
14	4992	134799
15	5272	133131
16	5579	132262
17	5867	131046
18	6084	128414
19	6342	126853
20	6652	126403
21	6935	125474
22	7282	125695
23	7610	125579
24	7911	125004
25	8192	124147
26	8487	123543
27	8707	121899
28	8963	120856
29	9304	120953
30	9575	120154
31	9897	120012
32	10152	119060
33	10449	118635
34	10739	118136
35	11065	118030
36	11383	117833
37	11672	117335
38	11995	117183
39	12371	117529
40	12711	117506
41	12972	116756
42	13257	116237
43	13545	115751
44	13871	115592
45	14167	115189
46	14444	114637
47	14715	114047
48	14973	113371
49	15273	113025
50	15576	112700
51	15817	111942
52	16134	111725
53	16485	111735
54	16792	111439
55	17119	111274
56	17498	111439
57	17876	111575
58	18156	111092
59	18455	110731
60	18848	110927
61	19223	110999
62	19615	111152
63	19956	111005
64	20208	110367
65	20525	110092
66	20825	109722
67	21052	108979
68	21332	108519
69	21585	107926
70	21812	107217
71	22077	106708
72	22402	106489
73	22639	105855
74	22871	105208
75	23177	104908
76	23550	104905
77	23756	104161
78	24058	103848
79	24233	102992
80	24536	102690
81	24851	102437
82	25167	102186
83	25442	101770
84	25764	101541
85	26111	101410
86	26481	101360
87	26613	100404
88	26850	99859
89	27106	99390
90	27484	99366
91	27734	98878
92	27994	98432
93	28365	98374
94	28818	98591
95	29171	98455
96	29477	98155
97	29807	97937
98	30206	97941
99	30579	97853
100	30851	97441
101	31248	97421
102	31597	97246
103	31887	96888
104	32214	96644
105	32624	96642
106	32979	96474
107	33287	96163
108	33676	96087
109	34053	95967
110	34372	95685
111	34670	95343
112	34936	94916
113	35290	94726
114	35555	94300
115	35847	93944
116	36136	93583
117	36509	93439
118	36940	93436
119	37210	93027
120	37365	92332
121	37711	92115
122	38038	91848
123	38303	91433
124	38658	91234
125	38961	90911
126	39396	90891
127	39758	90699
128	40179	90638
129	40437	90206
130	40665	89712
131	40835	89095
132	41113	88718
133	41457	88483
134	41893	88441
135	42169	88060
136	42544	87884
137	42885	87634
138	43214	87362
139	43579	87158
140	43990	87044
141	44283	86696
142	44560	86317
143	44892	86043
144	45290	85895
145	45554	85492
146	45869	85185
147	46139	84797
148	46460	84501
149	46891	84405
150	47263	84198
151	47678	84064
152	47979	83729
153	48379	83564
154	48535	82980
155	48932	82809
156	49249	82501
157	49533	82138
158	49882	81882
159	50169	81525
160	50478	81204
161	50790	80888
162	51167	80675
163	51452	80315
164	51773	80013
165	52160	79811
166	52599	79685
167	52976	79464
168	53318	79188
169	53629	78867
170	54045	78698
171	54332	78340
172	54747	78165
173	55047	77825
174	55317	77444
175	55696	77215
176	55995	76874
177	56180	76380
178	56470	76029
179	56676	75569
180	56943	75190
181	57145	74729
182	57333	74252
183	57568	73837
184	57858	73496
185	58112	73109
186	58356	72711
187	58600	72315
188	58869	71951
189	59051	71483
190	59284	71078
191	59562	70730
192	59739	70264
193	60086	69997
194	60323	69604
195	60521	69167
196	60821	68848
197	61139	68550
198	61386	68172
199	61580	67738
200	61824	67361
201	62052	66967
202	62290	66586
203	62501	66177
204	62704	65763
205	63027	65475
206	63243	65076
207	63531	64752
208	63753	64363
209	63971	63971
210	64228	63619
211	64465	63249
212	64723	62900
213	64951	62523
214	65202	62169
215	65436	61801
216	65695	61457
217	65890	61054
218	66091	60659
219	66340	60309
220	66642	60008
221	66909	59675
222	67093	59270
223	67510	59072
224	67833	58788
225	68030	58398
226	68273	58047
227	68400	57600
228	68643	57252
229	68906	56922
230	69181	56603
231	69461	56287
232	69696	55936
233	69950	55601
234	70142	55218
235	70285	54799
236	70575	54494
237	70845	54175
238	71110	53853
239	71439	53579
240	71687	53245
241	71992	52953
242	72225	52608
243	72507	52300
244	72780	51986
245	73151	51741
246	73469	51458
247	73687	51105
248	74006	50823
249	74286	50515
250	74490	50155
251	74694	49796
252	74976	49490
253	75223	49161
254	75446	48818
255	75640	48457
256	75819	48088
257	76051	47753
258	76291	47424
259	76581	47127
260	76859	46822
261	77107	46500
262	77368	46185
263	77560	45831
264	77764	45484
265	78037	45179
266	78264	44848
267	78510	44528
268	78798	44232
269	79078	43932
270	79308	43605
271	79544	43281
272	79840	42990
273	80046	42652
274	80354	42368
275	80610	42057
276	80852	41739
277	81075	41412
278	81339	41107
279	81634	40817
280	81923	40524
281	82193	40222
282	82417	39898
283	82695	39600
284	82961	39297
285	83180	38972
286	83416	38656
287	83713	38368
288	83922	38041
289	84147	37721
290	84385	37408
291	84681	37120
292	84971	36830
293	85226	36525
294	85509	36232
295	85790	35939
296	86076	35648
297	86305	35333
298	86607	35048
299	86883	34753
300	87128	34446
301	87377	34140
302	87605	33827
303	87788	33498
304	87977	33171
305	88241	32874
306	88454	32558
307	88636	32231
308	88910	31938
309	89369	31711
310	89780	31466
311	90052	31172
312	90292	30866
313	90722	30625
314	91176	30392
315	91535	30125
316	91990	29889
317	92367	29627
318	92700	29350
319	93047	29077
320	93481	28830
321	93849	28562
322	94057	28246
323	94359	27958
324	94758	27698
325	94968	27383
326	95378	27125
327	95749	26856
328	96182	26603
329	96436	26300
330	96769	26019
331	97023	25717
332	97389	25443
333	97624	25136
334	98016	24869
335	98299	24574
336	98633	24292
337	98961	24008
338	99292	23724
339	99678	23453
340	100074	23184
341	100423	22903
342	100789	22626
343	101176	22352
344	101490	22063
345	101677	21746
346	101893	21435
347	102225	21150
348	102543	20861
349	102961	20592
350	103323	20311
351	103767	20045
352	103978	19735
353	104377	19460
354	104778	19184
355	105109	18896
356	105293	18581
357	105571	18283
358	105853	17986
359	106231	17705
360	106510	17407
