iter	RMSE
0	51722.75845
1	49699.48748
2	48457.00027
3	47245.57525
4	46064.43585
5	44912.82494
6	43790.0043
7	42695.25417
8	41627.8728
9	40587.17597
10	39572.49655
11	38583.18412
12	37618.60451
13	36678.13938
14	35761.18588
15	34867.15622
16	33995.4773
17	33145.59036
18	32316.95059
19	31509.02681
20	30721.30113
21	29953.26859
22	29204.43686
23	28474.32593
24	27762.46777
25	27068.40607
26	26391.69591
27	25361.24941
28	24373.04446
29	23763.71834
30	23169.62537
31	22590.38473
32	22025.6251
33	21474.98446
34	20640.04597
35	20124.04481
36	19620.94369
37	19130.42009
38	18652.15958
39	17928.69521
40	17480.47783
41	16804.20402
42	16384.09891
43	15974.49643
44	15575.13402
45	15185.75566
46	14806.11176
47	14435.95896
48	14075.05999
49	13723.18348
