iter	Passed	Remaining
0	146	7177
1	146	3522
2	146	2302
3	147	1692
4	147	1326
5	147	1082
6	147	907
7	147	776
8	148	675
9	148	593
10	148	526
11	148	470
12	148	423
13	148	383
14	149	348
15	149	317
16	149	290
17	149	266
18	150	244
19	150	225
20	150	207
21	150	191
22	150	176
23	150	163
24	151	151
25	151	139
26	151	128
27	151	118
28	151	109
29	151	101
30	151	93
31	151	85
32	152	78
33	152	71
34	152	65
35	152	59
36	152	53
37	152	48
38	153	43
39	153	38
40	153	33
41	153	29
42	153	25
43	153	20
44	153	17
45	153	13
46	154	9
47	154	6
48	154	3
49	154	0
